Libelle;Date et heure de comptage;Débit horaire;Taux d'occupation;Etat trafic;Etat arc_Barré;Etat arc_Invalide
AV_Champs_Elysees;2022-04-08 10:00:00;1139.0;12.76167;1;0;1
AV_Champs_Elysees;2022-04-08 09:00:00;1066.0;9.84111;1;0;1
AV_Champs_Elysees;2022-04-08 07:00:00;648.0;5.82167;1;0;1
AV_Champs_Elysees;2022-04-08 03:00:00;645.0;8.11667;1;0;1
AV_Champs_Elysees;2022-04-08 02:00:00;729.0;10.93722;1;0;1
AV_Champs_Elysees;2022-04-08 01:00:00;833.0;10.505;1;0;1
AV_Champs_Elysees;2022-05-02 16:00:00;1165.0;42.27389;3;0;1
AV_Champs_Elysees;2021-11-02 00:00:00;569.0;9.05111;1;0;1
AV_Champs_Elysees;2021-11-01 17:00:00;1077.0;47.72444;3;0;1
AV_Champs_Elysees;2021-11-01 14:00:00;1126.0;48.08667;3;0;1
AV_Champs_Elysees;2021-11-01 16:00:00;1159.0;76.20889;4;0;1
AV_Champs_Elysees;2021-11-01 22:00:00;882.0;21.34889;2;0;1
AV_Champs_Elysees;2021-11-01 04:00:00;1222.0;42.87945;3;0;1
AV_Champs_Elysees;2021-11-01 11:00:00;1046.0;62.80611;4;0;1
AV_Champs_Elysees;2021-11-01 15:00:00;1081.0;56.61778;4;0;1
AV_Champs_Elysees;2021-11-01 20:00:00;993.0;30.05556;3;0;1
AV_Champs_Elysees;2021-12-01 20:00:00;1252.0;31.02722;3;0;1
AV_Champs_Elysees;2021-12-01 11:00:00;1174.0;25.85722;2;0;1
AV_Champs_Elysees;2021-12-01 14:00:00;1138.0;33.52278;3;0;1
AV_Champs_Elysees;2021-12-01 18:00:00;1153.0;27.36167;2;0;1
AV_Champs_Elysees;2021-12-01 17:00:00;1189.0;24.73278;2;0;1
AV_Champs_Elysees;2021-12-02 00:00:00;804.0;9.72778;1;0;1
AV_Champs_Elysees;2021-12-01 15:00:00;1118.0;40.54833;3;0;1
AV_Champs_Elysees;2021-12-01 16:00:00;1112.0;33.83278;3;0;1
AV_Champs_Elysees;2021-12-01 06:00:00;381.0;3.40722;1;0;1
AV_Champs_Elysees;2021-12-01 04:00:00;589.0;17.67389;2;0;1
AV_Champs_Elysees;2021-12-01 12:00:00;1244.0;32.80667;3;0;1
AV_Champs_Elysees;2021-12-01 10:00:00;1282.0;24.41944;2;0;1
AV_Champs_Elysees;2021-12-01 07:00:00;665.0;6.27;1;0;1
AV_Champs_Elysees;2021-12-01 13:00:00;1157.0;33.28445;3;0;1
AV_Champs_Elysees;2022-09-06 13:00:00;1285.0;28.02445;2;0;1
AV_Champs_Elysees;2022-09-06 10:00:00;1270.0;18.10167;2;0;1
AV_Champs_Elysees;2022-09-06 09:00:00;1275.0;15.22667;2;0;1
AV_Champs_Elysees;2022-09-06 08:00:00;984.0;10.75889;1;0;1
AV_Champs_Elysees;2022-09-06 07:00:00;625.0;6.93;1;0;1
AV_Champs_Elysees;2022-09-06 06:00:00;301.0;4.13167;1;0;1
AV_Champs_Elysees;2022-09-06 04:00:00;241.0;3.24334;1;0;1
AV_Champs_Elysees;2022-09-06 03:00:00;372.0;5.06222;1;0;1
AV_Champs_Elysees;2022-11-07 21:00:00;959.0;15.00667;2;0;1
AV_Champs_Elysees;2022-11-07 20:00:00;1043.0;17.88611;2;0;1
AV_Champs_Elysees;2022-11-07 19:00:00;1087.0;19.72611;2;0;1
AV_Champs_Elysees;2022-11-07 18:00:00;1074.0;20.61834;2;0;1
AV_Champs_Elysees;2022-10-07 22:00:00;1029.0;19.16556;2;0;1
AV_Champs_Elysees;2022-10-07 21:00:00;1099.0;21.81556;2;0;1
AV_Champs_Elysees;2022-10-07 19:00:00;1175.0;23.57944;2;0;1
AV_Champs_Elysees;2022-10-07 17:00:00;1232.0;24.32;2;0;1
AV_Champs_Elysees;2022-05-03 00:00:00;965.0;18.95445;2;0;1
AV_Champs_Elysees;2022-10-07 16:00:00;1040.0;23.79278;2;0;1
AV_Champs_Elysees;2022-10-07 15:00:00;1045.0;26.26667;2;0;1
AV_Champs_Elysees;2022-10-07 14:00:00;946.0;24.16167;2;0;1
AV_Champs_Elysees;2022-10-07 12:00:00;1089.0;23.90222;2;0;1
AV_Champs_Elysees;2022-09-08 11:00:00;1201.0;16.86723;2;0;1
AV_Champs_Elysees;2022-09-08 08:00:00;1035.0;11.46556;1;0;1
AV_Champs_Elysees;2022-09-08 07:00:00;634.0;7.74167;1;0;1
AV_Champs_Elysees;2022-08-04 22:00:00;637.5;8.644725;0;0;1
AV_Champs_Elysees;2022-08-04 21:00:00;641.0;9.54778;0;0;1
AV_Champs_Elysees;2022-08-04 20:00:00;644.5;10.450835;0;0;1
AV_Champs_Elysees;2022-04-13 23:00:00;648.0;11.35389;1;0;1
AV_Champs_Elysees;2022-04-13 21:00:00;873.0;15.54333;2;0;1
AV_Champs_Elysees;2022-04-13 20:00:00;1312.0;24.89833;2;0;1
AV_Champs_Elysees;2022-04-13 18:00:00;1084.0;26.29444;2;0;1
AV_Champs_Elysees;2022-04-13 17:00:00;1134.0;24.17223;2;0;1
AV_Champs_Elysees;2022-04-13 14:00:00;1052.0;21.04222;2;0;1
AV_Champs_Elysees;2022-04-13 12:00:00;1191.0;17.14111;2;0;1
AV_Champs_Elysees;2022-04-13 07:00:00;624.0;5.33278;1;0;1
AV_Champs_Elysees;2022-04-13 06:00:00;275.0;2.34778;1;0;1
AV_Champs_Elysees;2022-04-13 05:00:00;155.0;1.70556;1;0;1
AV_Champs_Elysees;2022-10-07 09:00:00;1210.0;19.26056;2;0;1
AV_Champs_Elysees;2022-10-07 06:00:00;379.0;4.15945;1;0;1
AV_Champs_Elysees;2022-10-07 05:00:00;292.0;3.29611;1;0;1
AV_Champs_Elysees;2022-10-07 04:00:00;336.0;4.44111;1;0;1
AV_Champs_Elysees;2022-10-07 03:00:00;447.0;4.97611;1;0;1
AV_Champs_Elysees;2022-10-07 02:00:00;622.0;7.95222;1;0;1
AV_Champs_Elysees;2022-08-04 00:00:00;755.3333333333334;8.68463;0;0;1
AV_Champs_Elysees;2022-08-03 23:00:00;888.6666666666667;9.41704;0;0;1
AV_Champs_Elysees;2022-03-03 08:00:00;1022.0;10.14945;1;0;1
AV_Champs_Elysees;2022-03-03 04:00:00;301.0;3.305;1;0;1
AV_Champs_Elysees;2022-03-03 15:00:00;1199.0;25.90334;2;0;1
AV_Champs_Elysees;2022-03-03 14:00:00;1162.0;25.07945;2;0;1
AV_Champs_Elysees;2022-03-03 07:00:00;682.0;8.235;1;0;1
AV_Champs_Elysees;2022-03-03 09:00:00;1103.0;12.10667;1;0;1
AV_Champs_Elysees;2022-03-03 02:00:00;565.0;7.48778;1;0;1
AV_Champs_Elysees;2022-03-03 23:00:00;907.0;15.03611;2;0;1
AV_Champs_Elysees;2022-03-03 20:00:00;1211.0;27.48611;2;0;1
AV_Champs_Elysees;2022-03-03 22:00:00;928.0;13.97333;1;0;1
AV_Champs_Elysees;2022-03-03 21:00:00;1064.0;20.08389;2;0;1
AV_Champs_Elysees;2022-03-03 17:00:00;1162.0;22.21333;2;0;1
AV_Champs_Elysees;2022-03-03 19:00:00;1222.0;27.045;2;0;1
AV_Champs_Elysees;2022-03-03 12:00:00;1142.0;25.97;2;0;1
AV_Champs_Elysees;2022-03-04 00:00:00;741.0;11.37222;1;0;1
AV_Champs_Elysees;2022-03-03 10:00:00;1178.0;14.64778;1;0;1
AV_Champs_Elysees;2022-03-03 03:00:00;419.0;4.95334;1;0;1
AV_Champs_Elysees;2022-03-03 01:00:00;707.0;10.255;1;0;1
AV_Champs_Elysees;2022-03-03 13:00:00;1110.0;21.805;2;0;1
AV_Champs_Elysees;2022-03-03 16:00:00;1072.0;34.07389;3;0;1
AV_Champs_Elysees;2022-03-03 11:00:00;1116.0;19.33667;2;0;1
AV_Champs_Elysees;2022-03-03 06:00:00;385.0;4.02611;1;0;1
AV_Champs_Elysees;2022-03-03 18:00:00;1193.0;24.40667;2;0;1
AV_Champs_Elysees;2022-03-03 05:00:00;223.0;2.68445;1;0;1
