Identifiant arc;Libelle;Date et heure de comptage;Débit horaire;Taux d'occupation;Etat trafic;Identifiant noeud amont;Libelle noeud amont;Identifiant noeud aval;Libelle noeud aval;Etat arc;Date debut dispo data;Date fin dispo data;geo_point_2d;geo_shape
191;Sts_Peres;2022-09-14T19:00:00+02:00;726.0;9.71334;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.332454190717672;"{""coordinates"": [[2.3332577811223216, 48.8582600669617], [2.3316506003130226, 48.8563006755038]], ""type"": ""LineString""}"
191;Sts_Peres;2022-09-14T17:00:00+02:00;638.0;10.34389;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.332454190717672;"{""coordinates"": [[2.3332577811223216, 48.8582600669617], [2.3316506003130226, 48.8563006755038]], ""type"": ""LineString""}"
191;Sts_Peres;2022-09-14T16:00:00+02:00;634.0;9.665;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.332454190717672;"{""coordinates"": [[2.3332577811223216, 48.8582600669617], [2.3316506003130226, 48.8563006755038]], ""type"": ""LineString""}"
191;Sts_Peres;2022-03-26T06:00:00+01:00;142.0;1.76111;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.3324541907176717;"{""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]], ""type"": ""LineString""}"
191;Sts_Peres;2022-03-15T14:00:00+01:00;;;Inconnu;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.3324541907176717;"{""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]], ""type"": ""LineString""}"
191;Sts_Peres;2022-04-15T23:00:00+02:00;372.0;4.60222;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.3324541907176717;"{""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]], ""type"": ""LineString""}"
191;Sts_Peres;2022-04-15T22:00:00+02:00;368.0;4.92611;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.3324541907176717;"{""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]], ""type"": ""LineString""}"
191;Sts_Peres;2022-04-15T18:00:00+02:00;607.0;8.03111;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.3324541907176717;"{""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]], ""type"": ""LineString""}"
191;Sts_Peres;2022-04-15T16:00:00+02:00;660.0;8.77778;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.3324541907176717;"{""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]], ""type"": ""LineString""}"
191;Sts_Peres;2022-04-15T13:00:00+02:00;598.0;7.72445;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.3324541907176717;"{""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]], ""type"": ""LineString""}"
191;Sts_Peres;2022-04-15T12:00:00+02:00;584.0;6.72334;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.3324541907176717;"{""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]], ""type"": ""LineString""}"
191;Sts_Peres;2022-04-15T07:00:00+02:00;245.0;3.01111;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.3324541907176717;"{""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]], ""type"": ""LineString""}"
191;Sts_Peres;2022-04-15T04:00:00+02:00;118.0;1.39333;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.3324541907176717;"{""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]], ""type"": ""LineString""}"
191;Sts_Peres;2022-03-26T07:00:00+01:00;154.0;1.84778;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.3324541907176717;"{""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]], ""type"": ""LineString""}"
191;Sts_Peres;2022-03-16T01:00:00+01:00;317.0;3.89444;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.85728037123275,2.3324541907176717;"{""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]], ""type"": ""LineString""}"
